cleaned_comment_text,aspect_label,source
aado maklu athranu iphone en bidu guru en helidru idru bagge waste shoki madoroge,Other,seed
bro compared 60 fps to 540p30fps 😅,Gaming,seed
switch lite best,Other,seed
comic accurate wolverine,Other,seed
it is fine i put my switch in a bag,Other,seed
my psp vita still good ❤,Other,seed
hlo bro njn iphone 17 edukkann vijarichu pakshe njn saudiyill ahnu ivde nattilelum 10k kooduthal ahnu appo ividennu edullanathano nattiln ninnu edukkanathano nallathu.warranty service enthenkium issue indavo?,Other,seed
just upgraded from an iphone 12 pro max. 🤯,Other,seed
"i miss 3d touch a lot, i thought it felt sooo good to use. it just never got adopted at the native ui layer enough.",Software,seed
what about the rocket in mario cart 8?,Gaming,seed
6:42 call of what?,Spam,seed
god i wish i can experience this all over again,Other,seed
intel b580 ka review when?,Hardware,seed
im waiting till switch 2 getting modded,Purchase Intent,seed
switch deck drift,Spam,seed
i literally just ordered the iphone 17 sage green tonight. coming from a 15 plus that has seen better days. i can’t wait for it to arrive.,Purchase Intent,seed
we need a switch 2 upgrade for the switcher 3.,Hardware,seed
w kiss my ass switch my bad😅😢😂❤🎉,Other,seed
need to get one.,Purchase Intent,seed
iphone 17 case link,Spam,seed
know 2dow fi ewofcdo wdd29,Spam,seed
team both 👇,Spam,seed
"i believe it's all about distracting the masses to rent compute. no more hardware , rent pc's and consoles from the datacenters. we must resist , no keycards, no subscriptions, no cloud usage. just a nice machine we own and rhe software that goes along with it without the need for a log in or an internet connection.",Other,seed
15 pro ano better 17 ano 👀,Competition,seed
"steam deck oled or asus rog ally which is better for assassin's creed games (mirage, valhalla, shadows)? or laptop in their price range is better",Competition,seed
oppo f31 pro+5g review,Competition,seed
"hopefully our gamer president, donald j. trump can look into this issue. this is not what we voted for! 😢🇮🇱🥇",Price,seed
"my thoughts also, they should just discontinue the production of the steam deck and focus on steam machine",Hardware,seed
annaaaa. iphone 17 or oneplus 15 eethanu better,Competition,seed
mario is better,Gaming,seed
imagine going for the 17 when there is is a 17 pro max,Competition,seed
really i phone 17is the best i have ever seen i i phone model,Hardware,seed
switch 2,Spam,seed
i wouldn't be surprised if this will actually boost sales short-term because people anticipate another price hike in a few months. which may happen. and people are very naive if they believe that competitors and second hand will stay cheap. you can already see prices for second hand steam decks going up.,Price,seed
"i don't understand why you guys hype iphones. from last 2years they are producing dumb products lol. vivo, samsung is the best imo",Competition,seed
ich habe mir vor einem jahr eins gekauft und nie damit gespielt 😂. jetzt wo ich hörte das viele eins haben möchten aber keins bekommen macht es mir spass damit zu spielen 😂😂😂🎉🎉🎉🎉,Other,seed
ich hoffe das 007 first light bald für die ns2 erscheint,Other,seed
"the switch 2 is so cool in my opinion, that i am selling basically all my good pokemon cards, a funko pop, 4 switch games and 1 wii game, and some delta plane trading cards just to have enough money to buy it. when i get it my siblings will never get to use, unless it's their birthday",Gaming,seed
"i mean, i like a lot about it but the other devices 2nd hand are just superior in terms of raw specs and cost.",Competition,seed
"congratulations, you made a wii u😂😂😂",Spam,seed
"why phones are made to last long for 10 years, why we keep spending money again and again?",Support,seed
"absolutely terrible review. no benches, nothing about temps, nothing about how portable it is. this channel is as usual the worst ever",Other,seed
i play the witcher 3 with a 45 fps lock and medium-low settings. the steam deck was running for 3.5 hours,Gaming,seed
bro 17 republic day price drop heli bro,Spam,seed
"venom brother, literally loved your video. were way you speak were real pros and cons and were way of explaining, top notch brother. keep making these kind of videos.",Spam,seed
j'ai acheté la même hier❤,Other,seed
well mario also has bob-ombs so.,Spam,seed
that’s a generated 😂😂😂,Spam,seed
"no one should buy it after the nearly 50% price hike, but considering stock still sold out shortly after valve announced this, it just validates their decision.",Price,seed
switch 2 is more satisfying ❤😊❤😊❤,Hardware,seed
"iphone 17 or realme gt 8pro which one is better for heavy gaming and camera, performance, battery",Competition,seed
you have no friends. what's the point of that? 😂😂😂,Other,seed
its still a childish console with unfinished crappy games day one 😂,Gaming,seed
and 600$,Price,seed
straight up rworded video,Other,seed
aapki video dekhkar maine 17 pro leliya 🎉❤,Purchase Intent,seed
2017 i 2 sal ka was,Other,seed
"who cares about ""new games"" 😂 this crap is not worth your money.",Hardware,seed
"another bug , if you disable hotspot from center bar but it is still open need to of from settings",Software,seed
i got that,Spam,seed
why don't you choose lenovo legion go s? (steamos),Competition,seed
s25 full review podunga,Competition,seed
your getting bricked,Other,seed
"everything the gabites thought they knew about valve is wrong. online and cloud saves are not free. they're funded by not having a secondhand market. 10 bucks a month in steam sales is 120 bucks a year. you've already been paying for cloud saves. xbox has been charging for online since 2004 and in 25 years they have not turned a dime in profit. this stuff is not free folks and valve isn't giving it away because they're ""not greedy."" tldr, valve's books are tighter than we all imagined and they were forced to do this to stay solvent. also, price of games being lower on steam is a farce. re9 is currently on sale on xbox and it has never gone on sale on steam. i know because i do not buy digital games day one. paying full price to rent a game.no thanks.",Price,seed
what about a switch 2,Other,seed
"despite the wave of negative reviews from major tech reviewers, iphone sales don't seem to be slowing down. i really don't understand the hype. it feels like customers are being overcharged for minimal features, and it's wild to see people buying them on monthly installments when there are far better value for money options out there.",Competition,seed
"""or a handheld on-the-go console"" shows a wii u 😂",Other,seed
the joycons had me confused for a sec lol laugh,Hardware,seed
"couldn’t agree more, which is why i just upgraded from a base 13 to the base 17, a week ago.",Performance,seed
brother 17 and 16 plus comparison kudunga brother,Spam,seed
where can i buy it😮,Other,seed
my dad doesn't let me buy it😢,Other,seed
just put one 6000mah silicon carbon battery and vapour chamber in it. you are settled for next 5 years.,Hardware,seed
nintendo switch,Spam,seed
"is bro my name bala. my frd recently buy iphone 17mist blue. but one he faced that is “voice option not showing “and “when someone calls my number, were call does not go to voicemail. it directly shows ‘busy’ or gets disconnected. i want voicemail (including visual voicemail) to be enabled, similar to how it works on android phones.” “could you please tell me if this issue is related to any update or software problem?”",Software,seed
"so no answer, thanks",Purchase Intent,seed
"im over the big phones and i'm starting to think going from a 16 pro max to this wouldn't be entirely bonkers, the cheaper iphones have really stepped up their game since i had my 14 plus.",Competition,seed
"would really enjoy a blooper reel at the end credits, like a movie.",Spam,seed
me after owning a switch 2 this christmas:,Other,seed
he's been sued by nintendo 64 times now,Other,seed
"nah, the stream deck doesn't have a problem, gaming has a problem and it's called unreal engine 5. everyone is using it, very few effectively. my sd is now my main & only gaming specific device. as someone who grew up gaming (snes was the first console i owned, but the atari was the first i played), it's really impressive that i can play many newer games (god of war, spider-man, replaced, satisfactory, etc.) with little performance issues on a handheld device. gone, should be, are the days of handheld specific versions of games and now it's the same game you may just have to lower the resolution of.",Software,seed
watching this from my iphone 13 with 256gb and battery life is 74%. i think i’ll wait for one more year to upgrade,Battery,seed
the bugs that you are talking about could be internal damage from the falls,Other,seed
i wish you a pleasant game.,Gaming,seed
“nintendo switch 10 dollars to 500 dollars” *shows steam deck* i guess nintendo bought steam now!,Competition,seed
"indiana jones und 007 sind auch meine top 2 in diesem monat. platz 3 wäre bei mir forza horizon 6 geworden, da auch dieser teil wieder super optimiert für handhelds ist. wobei hier zwischen claw 8ai+ und steamdeck was performance und bildqualität tatsächlich schon welten liegen. xess ist fsr 3.1 einfach mal um längen überlegen. übrigens, mit dem release von indiana jones auf der switch 2, hat maschine games auch nochmal einen patch für die pc version nachgeschoben, der die cpu optimierungen der switch 2 auch auf den pc bringt. damit lässt sich auch der ägypten level, wo vorher in einigen bereichen gerade mal 24 fps geschafft wurden, jetzt ohne probleme mit 30 fps + auf der claw spielen. bei 007 first light bin ich sehr auf die switch 2 version gespannt. der unterschied in dem spiel zwischen fsr und dlss sind welten. daher gehe ich mal davon aus das die switch version, ähnlich wie indiana jones, eine deutlich bessere bildschärfe haben wird und damit dann auch wieder die xbox series s ausstechen wird, was die bildqualität betrifft.",Gaming,seed
but you haven’t even tried others tf you were using an 11,Competition,seed
nick fake video switch 2 bettery life was shorter than deck lcd to become longer than oled,Battery,seed
venom brother amazon me lcd steamdeck 24k me mil rha h kharid luu ?,Purchase Intent,seed
"steam doesn’t require steam hardware to play games on it, so valve doesn’t sell massive amounts of hardware, and doesn’t get discounts from production companies on that hardware.",Hardware,seed
❤same nodoke ade reeti ide .anna .🎉,Other,seed
"i never really thought about the steam deck (mainly because i'm a nintendo kid) and tbh i didn't know it only came out 3-4 years ago, i thought it was released in like 2015 or something lol",Competition,seed
my kids presented me n hubby with a new iphone 17,Other,seed
legion go can run this came on ultra settings ;),Competition,seed
i'm the guy who bought the 16e and am now getting the 17,Purchase Intent,seed
wowww una consola que salio hace 3 años contra una del año pasado . wowwwww. este crack rompio la matrix----,Spam,seed
that xbox ally looking so much better now! so glad i copped it,Competition,seed
7:00 i have the iphone 17 and would prefer the camera(s) of the pixel 10. so i would not say the iphone 17 is a better deal than a pixel 10.,Camera,seed
i don't think people would get the switch 2 for cyberpunk 2077.,Gaming,seed
most people probably brought them on a credit card and gonna try to resell,Other,seed
"i’ve been using iphone 13 for last 4 years (longest any phone i used). this phone has fallen so many times, soaked in sea water and washed purposely many times yet on the entire phone there is only one hairline minor scratch. the only thing is ive always used a tempered glass and cover.",Display,seed
there is a ps5 portable,Competition,seed
my favourite colour is black and white,Other,seed
oru 17 vaanghichu 24 manikoor use cheythilla motherboard adichu poii guys valla thelivum vennell myg karunagappaly showroom vist cheyth choichall mathii 👌 1/04/2026,Other,seed
rampires. amazing xd,Spam,seed
2:30 well. the pricing is now reversed people.,Price,seed
the witch 3 on the steam deck costs 300 roubles in on the 5k scroll ?,Price,seed
"yeah, well, what does it mean?",Other,seed
bro my steam deck would be having wind noise 24/7 and a lot of heat and don’t get me started on the games i’m like moving 3 frames per second with every game i played unless if i’m playing pac man or the og donkey kong,Performance,seed
i upgraded yesterday to 17 from the 14,Purchase Intent,seed
all the off brand shit 😂,Spam,seed
iphone 11 il ninn 17 ilekk upgrade akkiya njn🎉😅,Spam,seed
never in my life would i recommend iphone to anyone. either go for xiaomi or samsung or better yet huawei. go eat ur own shhh yu suck at everything,Competition,seed
steam machine will be a catastropic failure if it's not 500-700 usd. while rasing cost are a valid reson for price to be higher. but people will simply not have liqudity to buy it. steam deck succes was in massive part due to it's pricing being in reach of large demograpic aroung the world. 1000 usd steam machine is doa (dead on arrival) if its more it might even kill entire steam hardware branch momentum.,Price,seed
ya quiero probarlo en mí futura legion go,Competition,seed
"appale avru ninge phone kalsalla yakandre nindu enadru ondu golu edde erutte adke, yakandre ninge enadru ondu svalpa beku svlpa beku antiya adke😂😂",Other,seed
brother please give steam deck please dedo,Spam,seed
even before the price hike i couldn’t recommend the steam deck after 2024 .,Purchase Intent,seed
bro esport ke liya to take chaiye ki not or recording with how much gaming are goes is this i phone 17? plz reply bro,Spam,seed
"my advice is that do not buy steam deck, at least not directly from valve. poor device, even wors customer service. i ordered one last july and it had a faulty panel and it would reset mid game on regular basis. they said they would fix it for free, but the repair service claimed that the screen was cracked when they received it (but, i suspect that their technician broke it). they also claimed that it couldn't have broken in transit because it was very well packaged and therefore the warranty would not cover the damages. device was in mint condition externally when it was sent to get repaired. also, i had kept it clean and well protected. they would have aggreed to fix the screen for a little under half of the original purchase price. i declined since that would not fix the ”powering off” issue.",Support,seed
algún día la tendré ya sea comprada por mi o regalada🥲,Other,seed
anna watching this review in iphone 17 only 😂(bought today) but i didn’t get any warranty card or user manual should i get worried?,Support,seed
$1070 in europe,Price,seed
this is a good opportunity. honesty wireless / electronics salesman selling only what user needs.,Other,seed
"i stopped following pc handhelds after getting my rog ally x. are there actually handhelds over $2k? i just bought a sff mini pc with a mobile amd ryzen 9, 32gb ram, 1tb ssd, and desktop 5060 for $1500.",Price,seed
the world when im finally an adult: 😢,Spam,seed
u have an asymmetric face😢,Spam,seed
can you please review the 1x player x1,Other,seed
thanks for the great video.,Spam,seed
i just got a nitendo switch oled model,Purchase Intent,seed
brother now 66k milra oled should i buy this or fo for xbox ally?,Purchase Intent,seed
my phone also 17❤,Spam,seed
mobiles best !,Other,seed
precisei ver o vídeo pra saber como abre a caixa 😅,Other,seed
bro 5x photo video unda,Spam,seed
i bought my first iphone (the normal 17) specially because now i have money and i would like a phone that does not devalue so fast. how often is it worth changing an iphone? four or five years?,Support,seed
"why is your dock black and your controllers are coloured? my dock is white, same as the joycons or controllers, or whatever it's called 😅",Other,seed
"i just upgraded 3 days ago, from iphone 11 (64gb) to iphone 17 (256gb). the big increase of storage is the best part lol. and yeah, i love every bit of iphone 17. gonna embrace it for the next. 6 years :d",Hardware,seed
you can't really say they didn't raise the price when the only oled model is equivalent to the highest end model. there's no way to get a 64 or 256 gb cheaper version,Price,seed
my fav is the 300$ switch because it's the only hybrid one that plays nintendo games,Price,seed
assembled in karnataka,Other,seed
bro 17 pro max how,Spam,seed
50 procent more expensive but 10x more performance than the 1st. isnt all that bad and personaly i really like the lcd screen. and yes i also own a oled display. but not kidding im glad it doesnt have oled cuz i find it pretty intens to look at. and switch dock is hooked to my 360hz oled anyways.,Price,seed
pubg mentioned in big 2026?,Spam,seed
no bugs so far purchased the base 17 a month ago solid cameras and battery. but found only 2 bugs,Camera,seed
"i just went from xr (been using for 6 years) to 17 (base). i probably could have gotten away with a 17e, since i'm not on my phone all the time (not a phone zombie; don't use social media).",Purchase Intent,seed
i got a gaming pc with a 5070 in costco for like 1500 usd last year. right now a similar machine is 2200. just crazy,Competition,seed
ummm guys. my nintendo is 20k,Price,seed
bro i love your videos only one thing i want from you that a video of diffrentent games cds and cards of nintendo switch,Gaming,seed
the band is called,Spam,seed
paying so much and it cant even charge with 100 watt?!,Battery,seed
i sold my steamdeck oled because i got laid off and i needed extra cash.a year and a half later i regret selling it and these items are all sold out lol,Other,seed
both sound the same,Hardware,seed
brother achha review dete are,Other,seed
it's surprising this song is going viral.,Other,seed
in what world is a pixel 10 more expensive than an iphone? maybe just in america cause everywhere else that's not the case,Price,seed
"i upgraded from 12 pro to 17 pro and went level lower to the regular 17. to be honest, beside of camera there is no major difference",Camera,seed
team switch,Other,seed
"if a nintendo switch 2 oled is coming them it'll be a win despite everything, the one thing nintendo has that xbox doesn't are exclusives",Display,seed
i'm becoming increasing happy with my decision to buy a steam deck last year xd,Purchase Intent,seed
iphone phobiasil phone edukkalle. they are charged more price like emi processing fee almost 2k and also charge personal insurance . if you want to weiveoff this chage to reliance digital mart. you can save min. 3k for sure.,Price,seed
why was there the suicide hotline under this video?,Spam,seed
whoop band 4.0 unboxing video madi bro,Spam,seed
nintendo is for kids : mario cart 🤡 ps4/ps5 is for legends: tlous2 gow got unchrtd bloodbborne,Competition,seed
yes i love it when you tube advertises crimes!,Other,seed
the best tech content out here. good luck!,Other,seed
ps1 was the best in video game history relax,Other,seed
people arguing over oled bruh look at the damn thing,Display,seed
nunchuk 🥵🥵🥵,Other,seed
just did the switch after watching this video yesterday. upgrading from 11 to 17.,Purchase Intent,seed
venom bai kisi shop ka adress btao jo steamdeck main games dalta are delhi main ?,Purchase Intent,seed
if it was a 100 dollars more you’re still getting a lot for the price .,Price,pseudolabel
in canada on bell i got the phone for $1 a month on 24 month lease and cost to own at end is only $300 making the phone only $324 with their 150gb plan so total is $61 cad plus tax a month not too shabby,Price,pseudolabel
ipad pro m5 review podunga,Competition,pseudolabel
just upgraded to the 17 from my 12 yesterday,Purchase Intent,pseudolabel
u can buy 5 ps4 for one of these or one ps5 for 50$ more,Price,pseudolabel
it would be an s teir console only if its price in india is less than 45k,Price,pseudolabel
450 dollars for the nintendo switch 2,Price,pseudolabel
"lol, this video didn't age well. steam deck now $800 - $1,000",Price,pseudolabel
750$ switch 2,Price,pseudolabel
500$ = switch 2,Price,pseudolabel
i have 100$ should i get that one,Price,pseudolabel
in türkiye switch oled is 18.889 turkish lira but a switch 1 is 35.000 turkish lira. inflation sucks.,Price,pseudolabel
what about $1000,Price,pseudolabel
and 750$ for a switch 2,Price,pseudolabel
the $450 switch = switch 2,Price,pseudolabel
"bro i have a switch and it was like so expensive than $300 it was $14,000 (you might not understand the p because i live in a different country lol)",Price,pseudolabel
the peopl who thoght the 500$ was a switch 2 😮😂,Price,pseudolabel
now switch 2:$450,Price,pseudolabel
australia $800 for mario kart world with the nintendo switch two justin nintendo switch to a $600,Price,pseudolabel
1080p there no need for oled switch 2 who gonna be 600$ for that,Price,pseudolabel
"the second he said ""its not the reason it cost $450"" i already knew he was full of it.",Price,pseudolabel
why am i getting this in 2026? its about to go up to $500.,Price,pseudolabel
"games were not $39.99, it went 10 bucks, calm down",Price,pseudolabel
$299 in 2017 is $406 in 2026 dollars. get over it. everyone watching this knows you already have a switch 2.,Price,pseudolabel
"in england now, it's £349.99",Price,pseudolabel
"23,435.27₱ or 399dollars, such expensive",Price,pseudolabel
"now look, i’m gonna buy one here soon, but this pissed me off, the “inflation” comment and the “four years” comment, do not try to make it sound like that $150 pricie increase is only going to have a four year lifespan.",Price,pseudolabel
make 400 $,Price,pseudolabel
the switch oled costs 400$ now but there are some at my nearest walmart that have the original price of 350$ so this could be my chance to get it!,Price,pseudolabel
"remember when nintendo announced that they'll be raising the switch 2 price by $50 in september this year and people called them greedy? but when valve raises the steam deck price by $300 out of nowhere without announcement, it's the economy. i think these people just loves to hate nintendo.",Price,pseudolabel
"trust me, this is not the end. right now consumer ram is still “cheap” considering how production shifted. look at the price increases for ddr5 ecc registered ram. insane prices of 1500€ per 32gb module.",Price,pseudolabel
"correction.! the steamdeck is not the best handheld on the market. not even close. the xbox ally x is much better over all. better performance, better battery life, better grips, full xbox support. i have no idea where do people keep coming with this bs idea that the sd is still the best handheld out there. the cheap price doesn't make your games any better and now at $900 its proofs that there is absolutely no reason to get one anymo",Price,pseudolabel
"it wasnt even worth it at $550, it's a $450 device even with an oled screen maximum i would pay.",Price,pseudolabel
steam deck is now 800$,Price,pseudolabel
i payed for my switch 2 for 100$ when is was released ❤,Price,pseudolabel
lenovo legion go is nice,Competition,pseudolabel
it should be under ₹ 10k,Price,pseudolabel
ise good laptop to take or pc better is or sirfi game is to ps5 best console,Competition,pseudolabel
good luck getting one amid this ram shortage. basically for anyone not scalping using bots will have to pay $900+ for an oled deck and they're simply not worth that. switch 2 that wildly available for $450 is the only deal to have right now but even that won't last forever.,Price,pseudolabel
ok i was trying to buy one but cant find it anywhere. i guess i gotta go with the ally x,Purchase Intent,pseudolabel
but is it worth the current going price of ~$1000?,Price,pseudolabel
steam machine will be 2k watch. theres no way with the handheld being the aforementioned price for a machine,Price,pseudolabel
"i just bought one, atleast i was able to. when the prices were cheaper they were never in stock, whatever its $200 thatd be wasted somewhere else ig",Price,pseudolabel
"if $500+ was “impulse buy territory” to you, we are not in the same tax bracket",Price,pseudolabel
"i don’t get why valve is getting so much hate for the price increase, the lcd steam deck was $399 for like 2 years. they intentionally kept hardware margins extremely thin or take an initial loss.",Price,pseudolabel
"this is not even about deck pricing, they are basically stopping production, the important thing is that the deck absorbs now part of the negative pr for when the steam machine is announced at $1600.",Price,pseudolabel
if your steam deck breaks today! it's not worth it to buy again. after only paying less then $500 the first time. now you need to pay $1000 and if that also breaks again. you payed lots of money when you would just get a simple computer or a cheap laptop under $300 .,Price,pseudolabel
"i mean it was already around $900 in my country, so it didn't change much lol",Price,pseudolabel
i have a xbox ally 600$ better than 950$,Price,pseudolabel
its not steam. here is accurate ram pricing info: average wholesale cost (16 gb package)market condition2023$35 – $50market oversupply; historic price bottom.2024$55 – $75modest recovery; rising smartphone and pc demand.2025$120 – $180extreme price spikes starting in q3/q4 due to ai shortages.2026 (current)$240 – $320+severe supply crunch; prices peaked at historic highs.,Price,pseudolabel
"hopefully our gamer president, donald j. trump 🇮🇱🥇, does something about this. this is not what we voted for!",Price,pseudolabel
"oh wait, didn't linus buy a 16gb vengence stick for 50$ two weeks ago? are we now pretending that the prices are higher than before?!",Price,pseudolabel
"i'm finded steam deck oled 512gb for 450$, i think for this price it really worth it",Price,pseudolabel
asmondgold predicted $1200 for the steam machine,Price,pseudolabel
"it is now back in stock. i’m glad that gaben both stocked the machine back so quickly, and undercut scalpers who rushed to make it out of stock previously. still wish the price increase wasn’t hundred of dollars tho especially for something that is three years old mediocre spec.",Price,pseudolabel
"no one is buying it in australia cos the top tier model is 1,429 which is more expensive than a ps5 pro",Price,pseudolabel
i think people are scared of it going to $1950 in a couple months,Price,pseudolabel
"$50 price increase like the switch 2 i would completely understand. hell even a $150 price increase like the ps5 i would understand. but a $250-300 price increase? nah. this is just pure incompetence on valve’s part to negotiate with ram and storage suppliers. if asus can resist price increases with a far smaller number of allies sold, valve can do better with the best selling pc handheld of all time. if i didn’t already have a sd oled i wouldn’t even consider buying one now",Price,pseudolabel
just ram increased from last last year 250% (as march 2025) so a 30% increase seems valid with the ssd price increase. it makes sense but it's still sad.,Price,pseudolabel
this crap is still overpriced 180% 1000$ in europe 2025-11-14.,Price,pseudolabel
yah.720p for 700$.no thanks.,Price,pseudolabel
